                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.739,                 2.7246,                 1.7883,                0.20704,                0.43424,                0.16732,                0.05827,                 2.2363,                 2.8389,                 2.3842,               0.070263,              0.0033041,              0.0033041
                      1,                 1.4543,                 1.9976,                 1.5659,                0.43009,                0.46396,                0.40865,                0.12219,                 2.3984,                 2.6746,                  2.499,                   0.04,              0.0063746,              0.0063746
                      2,                  1.399,                 1.6801,                 1.4791,                0.46802,                0.39561,                0.36871,                0.12067,                 2.4436,                 3.0227,                 2.4979,              0.0094735,              0.0091811,              0.0091811
                      3,                  1.391,                 1.5518,                 1.4542,                0.35519,                0.49192,                0.39533,                0.11562,                 2.6096,                 3.2952,                 2.5889,               0.008812,               0.008812,               0.008812
                      4,                 1.3474,                 1.4455,                  1.426,                0.48528,                 0.5936,                0.49496,                 0.1514,                 2.4866,                 2.7291,                  2.481,               0.008812,               0.008812,               0.008812
                      5,                 1.3313,                 1.3456,                 1.4009,                0.56877,                0.40967,                0.42641,                 0.1462,                 2.5421,                 2.2114,                 2.4504,               0.008416,               0.008416,               0.008416
                      6,                 1.3219,                 1.3026,                 1.3922,                0.54476,                0.51731,                0.48233,                0.17132,                 2.4395,                 2.5157,                  2.423,                0.00802,                0.00802,                0.00802
                      7,                 1.2823,                 1.2084,                  1.365,                0.59259,                 0.5782,                0.54307,                0.18327,                 2.4839,                 2.1434,                 2.3696,               0.007624,               0.007624,               0.007624
                      8,                 1.2502,                  1.178,                 1.3504,                0.73948,                0.63034,                0.69594,                 0.3018,                 2.1111,                 1.7172,                 2.0009,               0.007228,               0.007228,               0.007228
                      9,                 1.2272,                 1.1674,                 1.3359,                0.70332,                0.67207,                0.69977,                0.23269,                  2.321,                 2.2228,                 2.2619,               0.006832,               0.006832,               0.006832
                     10,                 1.1883,                 1.0629,                 1.3059,                0.73687,                0.59015,                0.72891,                0.32491,                 2.1185,                  1.746,                 2.0116,               0.006436,               0.006436,               0.006436
                     11,                 1.1517,                0.99941,                 1.2782,                0.80361,                0.78866,                0.82782,                0.35485,                 1.9761,                 1.2915,                 1.9202,                0.00604,                0.00604,                0.00604
                     12,                  1.127,                0.96757,                 1.2649,                0.80447,                0.67926,                0.76612,                0.32068,                 2.0882,                 1.4636,                 1.9796,               0.005644,               0.005644,               0.005644
                     13,                 1.0991,                0.93109,                 1.2424,                 0.6929,                0.80223,                0.75918,                0.34196,                 1.9126,                 1.1882,                 1.8458,               0.005248,               0.005248,               0.005248
                     14,                 1.0826,                0.89854,                 1.2354,                0.81932,                0.73395,                0.79998,                 0.3305,                  2.033,                 1.3837,                 1.9398,               0.004852,               0.004852,               0.004852
                     15,                 1.0931,                0.80545,                 1.2371,                0.69405,                0.53307,                0.59351,                0.23729,                 2.2796,                 1.8974,                 2.1765,               0.004456,               0.004456,               0.004456
                     16,                 1.0609,                0.76319,                 1.2046,                0.70161,                0.83683,                0.81911,                0.38241,                 1.8403,                 1.1021,                 1.7505,                0.00406,                0.00406,                0.00406
                     17,                 1.0239,                 0.7223,                 1.1949,                0.68742,                0.72598,                0.74226,                 0.3162,                 1.8419,                 1.2609,                 1.7915,               0.003664,               0.003664,               0.003664
                     18,                 1.0049,                0.70788,                 1.1803,                  0.733,                0.79453,                0.82488,                0.36558,                 1.8911,                 1.0072,                 1.8481,               0.003268,               0.003268,               0.003268
                     19,                 0.9752,                0.67041,                 1.1585,                0.79738,                0.89572,                0.87147,                0.40744,                 1.8388,                 1.0085,                 1.7633,               0.002872,               0.002872,               0.002872
                     20,                0.94295,                0.66158,                 1.1465,                0.81477,                0.80508,                0.86612,                 0.4517,                 1.7751,                0.96953,                  1.716,               0.002476,               0.002476,               0.002476
                     21,                0.92001,                0.62298,                 1.1279,                0.84588,                0.78486,                 0.8571,                0.43528,                 1.7149,                 1.0341,                 1.6619,                0.00208,                0.00208,                0.00208
                     22,                0.88196,                0.58719,                  1.102,                0.81893,                0.81661,                0.84641,                0.45091,                 1.6858,                0.96385,                 1.6417,               0.001684,               0.001684,               0.001684
                     23,                0.85017,                0.55952,                 1.0835,                0.80814,                0.80348,                0.85086,                0.46617,                  1.603,                0.89439,                 1.5744,               0.001288,               0.001288,               0.001288
                     24,                  0.828,                0.53286,                 1.0754,                0.88945,                0.78474,                0.87387,                0.47013,                 1.6254,                0.84167,                 1.6192,               0.000892,               0.000892,               0.000892
